Department,Tech Group,Sub-Category_x,Priority,Description,assistant (For Getlogs only),Category,Sub-Category_y
Technology Services,Access Control and Security,Access Reactivation,P3 - Planned,Request to reactivate a users biometric access.,,Biometric,Access Reactivation
Technology Services,Access Control and Security,Access Upload,P3 - Planned,Request to upload an access to another biometric device.,,Biometric,Access Upload
Technology Services,Access Control and Security,Badge Card Re-assignment,P3 - Planned,Request to re-assign a badge card to a different user.,,Biometric,Badge Card Re-assignment
Technology Services,Access Control and Security,Badge Card Request,P3 - Planned,Request for badge card (ITS is already present or not needed).,,Biometric,Badge Card Request
Technology Services,Access Control and Security,Bio Disable,P3 - Planned,Request to disable a biometric access.,,Biometric,Bio Disable
Technology Services,Access Control and Security,Bio Enrollment,P3 - Planned,Request for biometric enrollment.,,Biometric,Bio Enrollment
Technology Services,Access Control and Security,Biometric Issue,P2 - General,"Ticket related to a biometric, magnetic lock, push button, and exit sensor issue.",,Biometric,Biometric Issue
Technology Services,Access Control and Security,Device Configuration,P3 - Planned,Request to configure a setting in the biometric device.,,Biometric,Device Configuration
Technology Services,Access Control and Security,General Biometric Services,P3 - Planned,"Ticket for active list request, monthly audit, and other general inquiry relating to the biometrics.",,Biometric,General Biometric Services
Technology Services,Access Control and Security,Logs Report Generation,P3 - Planned,Request for a biologs report.,,Biometric,Logs Report Generation
Technology Services,Access Control and Security,Sprout Migration,P3 - Planned,Request to sync a biometric device to Sprout.,,Biometric,Sprout Migration
Technology Services,Access Control and Security,Diagram Creation/Update,P3 - Planned,"Any ticket task to create or update a diagram (network, power, rack, etc)",,Document,Diagram Creation/Update
Technology Services,Access Control and Security,Floorplan Creation/Update,P3 - Planned,Any ticket task to create or update a floorplan,,Document,Floorplan Creation/Update
Technology Services,Access Control and Security,Infographics,P3 - Planned,Any ticket task to create or update an infographic or job aid,,Document,Infographics
Technology Services,Access Control and Security,Knowledgebase,P3 - Planned,Any ticket task to create or update a knowledgebase,,Document,Knowledgebase
Technology Services,Access Control and Security,Other Documentations,P3 - Planned,Any ticket related to documentations that are not available in this category,,Document,Other Documentations
Technology Services,Access Control and Security,Process Plan,P3 - Planned,Any ticket task to create a new process plan,,Document,Process Plan
Technology Services,Access Control and Security,Process Update,P3 - Planned,Any ticket task to update an existing process plan,,Document,Process Update
Technology Services,Asset Management,Accountability Form,P3 - Planned,Request for accountability form creation.,,Asset Management,Accountability Form
Technology Services,Asset Management,Disposal,P4 - Project,Ticket for disposing IT assets.,,Asset Management,Disposal
Technology Services,Asset Management,Gatepass Processing,P3 - Planned,Request to process gate pass for KMC-owned assets.,,Asset Management,Gatepass Processing
Technology Services,Asset Management,Inventory,P3 - Planned,"Tickets related to asset keeping, inventory, and tagging.",,Asset Management,Inventory
Technology Services,Asset Management,Issuance Form,P3 - Planned,Request for issuance form creation.,,Asset Management,Issuance Form
Technology Services,Asset Management,Item Request,P3 - Planned,Request for IT equipment and devices.,,Asset Management,Item Request
Technology Services,Asset Management,Report,P3 - Planned,Ticket for reporting asset issues.,,Asset Management,Report
Technology Services,Asset Management,Warranty,P3 - Planned,Request for warranty checking for KMC-owned assets.,,Asset Management,Warranty
Technology Services,Asset Management,Asset Item Deployed,P2 - General,Any incident (lost/stolen asset) that needs to collate assets deployed,,Data Security Incident,Asset Item Deployed
Technology Services,Asset Management,Diagram Creation/Update,P3 - Planned,"Any ticket task to create or update a diagram (network, power, rack, etc)",,Document,Diagram Creation/Update
Technology Services,Asset Management,Floorplan Creation/Update,P3 - Planned,Any ticket task to create or update a floorplan,,Document,Floorplan Creation/Update
Technology Services,Asset Management,Infographics,P3 - Planned,Any ticket task to create or update an infographic or job aid,,Document,Infographics
Technology Services,Asset Management,Knowledgebase,P3 - Planned,Any ticket task to create or update a knowledgebase,,Document,Knowledgebase
Technology Services,Asset Management,Other Documentations,P3 - Planned,Any ticket related to documentations that are not available in this category,,Document,Other Documentations
Technology Services,Asset Management,Process Plan,P3 - Planned,Any ticket task to create a new process plan,,Document,Process Plan
Technology Services,Asset Management,Process Update,P3 - Planned,Any ticket task to update an existing process plan,,Document,Process Update
Technology Services,Asset Management,Exit Clearance,P3 - Planned,Ticket related to the signing of clearance of a resigned employee.,,Off Boarding,Exit Clearance
Technology Services,CCTV Admin,Camera Rotate/Disable Request,P3 - Planned,Request to rotate/disable a CCTV.,,CCTV,Camera Rotate/Disable Request
Finance,Billing,Billing Dispute,P1 - Billing,Any ticket related to discrepancies or disagreements in billing charges or invoices.,,Billing - Teams,Account Reconciliation
Finance,Billing,Billing Dispute,P1 - Billing,Any ticket related to discrepancies or disagreements in billing charges or invoices.,,Billing - Spaces,Billing Dispute
Finance,Billing,Pro-forma Billing Request,P2 - Billing,Any ticket related on provisional or preliminary billing statements or invoices.,,Billing - Teams,Pro-forma Billing Request
Finance,Billing,Pro-forma Billing Request,P2 - Billing,Any ticket related on provisional or preliminary billing statements or invoices.,,Billing - Spaces,Pro-forma Billing Request
Finance,Billing,Info or Document Request,P2 - Billing,Any ticket related on seeking additional information or documentation related to billing matters.,,Billing - Teams,Client Deposit Refund Request
Finance,Billing,Info or Document Request,P2 - Billing,Any ticket related on seeking additional information or documentation related to billing matters.,,Billing - Teams,Info or Document Request
Finance,Billing,Info or Document Request,P2 - Billing,Any ticket related on seeking additional information or documentation related to billing matters.,,Billing - Spaces,Info or Document Request
Finance,Billing,New Client for Billing,P1 - Billing,Any ticket regarding the setup or initiation of billing procedures for new clients.,,Billing - Teams,New Client for Billing
Finance,Billing,New Client for Billing,P1 - Billing,Any ticket regarding the setup or initiation of billing procedures for new clients.,,Billing - Spaces,New Client for Billing
Finance,Billing,Account Reconciliation,P1 - Billing,Any ticket concerning the process of comparing financial records to ensure accuracy and consistency.,,Billing - Spaces,Account Reconciliation
Finance,Billing,Client Deposit Refund Request,P1 - Billing,Any ticket related return of deposits made by clients.,,Billing - Teams,Billing Dispute
Finance,Billing,Client Deposit Refund Request,P1 - Billing,Any ticket related return of deposits made by clients.,,Billing - Spaces,Client Deposit Refund Request
Finance,Billing,Customer Setup,P2 - Billing,Any ticket related to the setup or configuration of customer billing accounts.,,Billing - Spaces,Customer Setup
Finance,Billing,Other Request,P3 - Billing,Any ticket for billing-related inquiries or requests not covered by other categories.,,Billing - Spaces,Other Request
Finance,Billing,Billing Dispute,P1 - Billing,Any ticket related to discrepancies or disagreements in billing charges or invoices.,,Billing - Teams,Account Reconciliation
Finance,Billing,Billing Dispute,P1 - Billing,Any ticket related to discrepancies or disagreements in billing charges or invoices.,,Billing - Spaces,Billing Dispute
Finance,Billing,Client Deposit Refund Request,P1 - Billing,Any ticket related return of deposits made by clients.,,Billing - Teams,Billing Dispute
Finance,Billing,Client Deposit Refund Request,P1 - Billing,Any ticket related return of deposits made by clients.,,Billing - Spaces,Client Deposit Refund Request
