Department,Tech Group,Sub-Category,Priority,Description,assistant (For Getlogs only)
Technology Services,Access Control and Security,Access Reactivation,P3 - Planned,Request to reactivate a user’s biometric access.,
Technology Services,Access Control and Security,Access Upload,P3 - Planned,Request to upload an access to another biometric device.,
Technology Services,Access Control and Security,Badge Card Re-assignment,P3 - Planned,Request to re-assign a badge card to a different user.,
Technology Services,Access Control and Security,Badge Card Request,P3 - Planned,Request for badge card (ITS is already present or not needed).,
Technology Services,Access Control and Security,Bio Disable,P3 - Planned,Request to disable a biometric access.,
Technology Services,Access Control and Security,Bio Enrollment,P3 - Planned,Request for biometric enrollment.,
Technology Services,Access Control and Security,Biometric Issue,P2 - General,"Ticket related to a biometric, magnetic lock, push button, and exit sensor issue.",
Technology Services,Access Control and Security,Device Configuration,P3 - Planned,Request to configure a setting in the biometric device.,
Technology Services,Access Control and Security,General Biometric Services,P3 - Planned,"Ticket for active list request, monthly audit, and other general inquiry relating to the biometrics.",
Technology Services,Access Control and Security,Logs Report Generation,P3 - Planned,Request for a biologs report.,
Technology Services,Access Control and Security,Sprout Migration,P3 - Planned,Request to sync a biometric device to Sprout.,
Technology Services,Access Control and Security,Diagram Creation/Update,P3 - Planned,"Any ticket task to create or update a diagram (network, power, rack, etc)",
Technology Services,Access Control and Security,Floorplan Creation/Update,P3 - Planned,Any ticket task to create or update a floorplan,
Technology Services,Access Control and Security,Infographics,P3 - Planned,Any ticket task to create or update an infographic or job aid,
Technology Services,Access Control and Security,Knowledgebase,P3 - Planned,Any ticket task to create or update a knowledgebase,
Technology Services,Access Control and Security,Other Documentations,P3 - Planned,Any ticket related to documentations that are not available in this category,
Technology Services,Access Control and Security,Process Plan,P3 - Planned,Any ticket task to create a new process plan,
Technology Services,Access Control and Security,Process Update,P3 - Planned,Any ticket task to update an existing process plan,
Technology Services,Asset Management,Accountability Form,P3 - Planned,Request for accountability form creation.,
Technology Services,Asset Management,Disposal,P4 - Project,Ticket for disposing IT assets.,
Technology Services,Asset Management,Gatepass Processing,P3 - Planned,Request to process gate pass for KMC-owned assets.,
Technology Services,Asset Management,Inventory,P3 - Planned,"Tickets related to asset keeping, inventory, and tagging.",
Technology Services,Asset Management,Issuance Form,P3 - Planned,Request for issuance form creation.,
Technology Services,Asset Management,Item Request,P3 - Planned,Request for IT equipment and devices.,
Technology Services,Asset Management,Report,P3 - Planned,Ticket for reporting asset issues.,
Technology Services,Asset Management,Warranty,P3 - Planned,Request for warranty checking for KMC-owned assets.,
Technology Services,Asset Management,Asset Item Deployed,P2 - General,Any incident (lost/stolen asset) that needs to collate assets deployed,
Technology Services,Asset Management,Diagram Creation/Update,P3 - Planned,"Any ticket task to create or update a diagram (network, power, rack, etc)",
Technology Services,Asset Management,Floorplan Creation/Update,P3 - Planned,Any ticket task to create or update a floorplan,
Technology Services,Asset Management,Infographics,P3 - Planned,Any ticket task to create or update an infographic or job aid,
Technology Services,Asset Management,Knowledgebase,P3 - Planned,Any ticket task to create or update a knowledgebase,
Technology Services,Asset Management,Other Documentations,P3 - Planned,Any ticket related to documentations that are not available in this category,
Technology Services,Asset Management,Process Plan,P3 - Planned,Any ticket task to create a new process plan,
Technology Services,Asset Management,Process Update,P3 - Planned,Any ticket task to update an existing process plan,
Technology Services,Asset Management,Exit Clearance,P3 - Planned,Ticket related to the signing of clearance of a resigned employee.,
Technology Services,Asset Management,Item Retrieval,P3 - Planned,OSS notifying the Asset Team of the returned asset from a resigned employee,
