Category,Sub-Category,Description
Web/Application Security,High Severity Alert,
Web/Application Security,Low Severity Alert,
Web/Application Security,Vulnerability Assessment,Any tickets associated with the assessment and identification of vulnerabilities in web applications. Mostly an internally planned/scheduled evaluation.
Web/Application Security,Vulnerability Remediation,Any tickets associated with concerns or findings in Web/Applications that require resolution from either the SOC (Security Operations Center) or the Development Team.
Vendor Payment,Invoice Posting,Any ticket related to Posting of invoices tailored to Zoom clients' requirements.
Vendor Payment,Invoice Revision,Any ticket related to Revision of invoices as needed by Zoom clients.
Vendor Accreditation,Vendor verification,Any ticket related to Verification process for vendors specific to Zoom clients.
Vendor Accreditation,Vendor sourcing,Any ticket related to Sourcing of vendors tailored for Zoom clients' needs.
Vendor Accreditation,Vendor Accreditation,Any ticket related to Accreditation process for vendors exclusive to Zoom clients.
Vendor Accreditation,Vendor Documents,Any ticket related to Management of vendor-related documents specifically for Zoom clients.
Vendor Accreditation,Vendor Card Creation,"Any ticket related to Creation of vendor cards within the system, customized for Zoom clients."
User Account,Email Account Creation,
User Account,Email Account Deletion,
User Account,Email Password Reset/Unlock,
User Account,NT Login Account Unlock,Login issues that will require an account unlock in the Active Directory.
User Account,NT Login Password Reset,Login issues that will require a password reset in the Active Directory.
User Account,NT Login Creation,Request to create an NT login account.
User Account,NT Login Disable,Request to disable an NT login account.
User Account,NT Login Re-enable,Request to re-enable an already disabled account in the Active Directory.
User Account,NT Login Information Update,Request to update an information in a NT login account.
User Account,OSP Account Unlock,Account lockout issue in the OSP.
User Account,OSP Access Request,Request access to the OSP.
User Account,OSP Access Disable,Request to disable access in the OSP.
TV Advertisement,Digital Signage,Ticket related to KMC’s official digital signage software. (handled by the TV Ads Team)
TV Advertisement,Setup,"Request to display a banner, image, videos, or movie Wednesday in the TV."
TV Advertisement,Removal,Request to remove an advertisement or other files displayed on the TV.
TREASURY,Bank Request,"Any tickets related related to requests or transactions involving banks, such as transfers, account updates, or inquiries."
TREASURY,Builds,"Any tickets related to the creation or adjustment of financial structures, investments, or portfolios."
TREASURY,Cash Advance,Any tickets related to processing requests or managing transactions related to cash advances.
TREASURY,Client Request,"Any tickets related to handling requests or transactions initiated by clients, such as payments or inquiries."
TREASURY,Government Statutory,"Any tickets related to compliance with government regulations or statutory requirements, including filings, reports, or payments."
TREASURY,Last Pay,Any tickets related to related to the processing of final payments or settlements for employees leaving the company.
TREASURY,Operations,Any tickets related to related to general financial operations or processes within the treasury department.
TREASURY,Rush Payroll Request,Any tickets related to urgent or expedited processing of payroll transactions.
TREASURY,Taxes / BOC / LGU Payment,Any tickets related to processing tax payments or payments to government agencies
TREASURY,Other Request,
TPMO,General IT Services,"Request related to inquiries, ITS concerns, discovery call, and client calls."
TPMO,Hardware Purchase,ITS creation for laptop and desktop purchase requests.
TPMO,Hardware Rental,ITS creation for laptop and desktop rental requests.
TPMO,IT Storage Rental,ITS creation for IT storage rental requests.
TPMO,Quotation for Room Modification,ITS creation for any room modification-related requests.
TPMO,Quotation for Services,ITS creation for any additional IT setup/configuration.
TPMO,RFID,ITS creation for badge card requests.
TPMO,Site Build,"Ticket for new/incoming site builds projects: Design & Build Layout, TPMO PR Requirement, Punchlist Completion and QA Completion."
Ticketing Support,Recurring Ticket Request/Removal,Request to create or delete a recurring ticket
Ticketing Support,Report Generation,Request to generate a ticket report
Ticketing Support,Ticketing Inquiry,Any inquiry related to the ticketing system
Ticketing Support,Test Ticket,Dedicated category for test tickets
Telephony,Softphone Issue,Ticket for 3CX softphone issues.
Telephony,Hardphone Issue,Ticket for IP phone-related issues.
Telephony,Configuration Assistance,"Ticket for telephony configuration assistance, request for a 3CX extension number, etc."
Telephony,Telco Coordination,Ticket for Voice team when coordinating a voice-related concern with a telco company.
